LHD,Hospital name,Age ,Gender,"Overall, how would you rate the care you received while in hospital?",What was the best part of the care you received while in this hospital?,What most needs improving about the care you received from the hospital?
RTUITO, Peach Hospital,50+,Woman or female,Very good,HAVING MY OWN ROOM WITH T.V,LEARN TO 'ACCURATELY' READ X-RAYS! AND LISTEN & RESPOND TO PATIENT'S COMPLAINTS SOONER!
MZNBSD, Squash Hospital,50+,Woman or female,Very good,ALL THE NURSES WERE VERY CARING & HELPFUL,NOTHING
QWRET, Orange Hospital,50+,Woman or female,Poor,NONE BECAUSE YOU DO NOT ALLOW A NURSE TO HIT YOUR FATHER/MOTHER HE/SHE WAS PREGNANT AND DID NOT WANT TO BE THERE. THEY EMPLOY XXXX NURSES THAT RE LAZY AND RUDE. THE ONLY ONE'S NICE ARE XXXX NURSES,IF A PATIENT IS A LEGALLY BLIND YOU DON'T TELL THEM SHOWER YOURSELF OR GO TOILET YOURSELF YOU HELP THEM. THEY DON'T WANT TO HELP THE OLD PATIENTS. NO RESPECT FOR THE ELDERLY. DAD/MUM IS XXXX YEARS OLD
KHZJDF, Kiwi Hospital,50+,Woman or female,Very good,WAS IN E.R. ONLY BUT I WAS TREATED VERY WELL,THEY NEED TO HAVE MORE STAFF
QWRET, Mango Hospital,50+,Woman or female,Neither good nor poor,"CARE SERVICES, THE NURSES WERE VERY GOOD","WAITING, IN THE EMERGENCY ROOM IS VERY SLOW AND NOT ENOUGH DOCTORS IN EACH DEPARTMENT"
VASRTY, Passionfruit Hospital,50+,Man or male,Very good,THE BEST PART WAS THE QUALITY OF THE COMMUNICATION AND INTERACTION WITH THE HEALTHCARE PROFESSIONALS AND THE SERVICE STAFF. EG NURSING ASSISTANTS CLEANERS AND FOOD SERVICE ETC,IT WAS ALL EFFICIENT AND PERSONAL
VASRTY, Passionfruit Hospital,50+,Woman or female,Very good,"I BELIEVE THE BEST PART WAS THE NURSES, IN GENERAL THE CARE WAS VERY GOOD. I THANK YOU SO MUCH FOR YOUR CARE",NO COMMENT
ARTBQW, Jackfruit Hospital,50+,Woman or female,Very good,"AFTER OPERATION THE DAYCARE STAFF WERE VERY KIND, EFFICIENT AND PROFESSIONAL IN EVERYTHING THEY DID. THEY WERE ALL BEAUTIFUL AND CARING. ONE IN PARTICULAR I REMEMBER WAS XXXX, HE/SHE WAS ON DUTY XXXX, AFTERNOON AND WAS BACK ON THE NEXT MORNING SUN. XXXX. HE/SHE WAS MOST HELPFUL IN GETTING ME READY TO GO HOME (AS I COULDN'T LIFT ANYTHING) THANK YOU XXXX. THANK YOU ALL DAY CARE STAFF","MY DOCTOR WAS XXXX XXXX HE/SHE WAS WONDERFUL AND MY OPERATION WENT VERY WELL. HE/SHE ALSO CAME TO SEE ME IN THE WARD, BUT THERE WERE A COUPLE OF DOCTORS THAT WEREN'T SO NICE WHEN DOING THEIR ROUNDS, JUST TALK ABOUT YOU BUT NOT TO YOU AND TRYING TO PUSH YOU OUT OF HOSPITAL WHEN YOUR FAMILY CAN'T COME TO GET YOU WE LIVE OVER XXXX KMS"
QWRET, Mango Hospital,50+,Woman or female,Very good,EVERYTHING,NOTHING
QESRRT, Cucumber Hospital,50+,Man or male,Very good,THE STAFF WERE VERY NICE AND PROFESSIONAL ALWAYS. THE WARD WAS VERY HECTIC MANY TIMES,STAFF WERE ALWAYS SHORT STAFFED AND HAD A HEAVY WORK LOAD. ONE RN WAS TRAINING A NURSE SO HIM/HER WORKLOAD WAS VERY LARGE TO MAKE SURE EVERYTHING WAS DONE CORRECTLY. SO INTERACTION WITH PATIENTS WAS LIMITED
OIUWEY, Longan Hospital,50+,Woman or female,Good,THE BEST PART WAS THE CARE IN THE DAYS FOLLOWING RECEIVING A PACEMAKER. THE NURSES WERE SUPERB,IN RE-HAB DIFFERENT NURSES DURING THE DAY RARELY THE SAME ONES DAY TO THE NEXT. CARELESS ABOUT THE WATER RESTRICTIONS I WAS UNDER THE DOCTOR WAS TOO RUSHED OFF HIS/HER FEET FOUND THE FOOD INEDIBLE
BNAVSE, Lemon Hospital,50+,Man or male,Very good,"THE BEST PART WAS KNOWING I HAVE GOOD DOCTORS, SURGEONS, NURSES LOOKING AFTER ME",
OIUWEY, Chilli pepper Hospital,50+,Woman or female,Good,I FELT THE DOCTORS THAT TREATED ME WERE VERY GOOD AND UNDERSTANDING,
BNAVSE, Melon Hospital,18-49,Man or male,Neither good nor poor,,MORE CARING STAFF AND MORE STAFFING WILL HELP IMPROVE QUALITY OF SERVICES.  I NOTICED A CRITICAL LEVEL OF SHORT STAFFING
KHZJDF, Kiwi Hospital,50+,Woman or female,Neither good nor poor,CARING NURSES WHEN AVAILABLE,"NOT ENOUGH NURSES, TOO MANY PATIENTS"
OIUWEY, Chilli pepper Hospital,50+,Woman or female,Very good,THE DOCTORS AND NURSES ARE TREATED ME WELL WHILE IN THE HOSPITAL. I WOULD RECOMMEND TO ALL MY FRIENDS ABOUT THE HOSPITAL,NOTHING MUCH. ALL BEEN TREATED FAIRLY
OPIUSD, Blueberries Hospital,50+,Woman or female,Very good,SPEED OF DOING OPERATION ON XXXX,"XXXX HOUR WAIT IN *** (WHICH WAS COLD TOO COLD TO SLEEP) FOR PAIN RELIEF - POST OPERATIVE BLEED MID XXXX, LACK OF UNDERSTANDING OF POST OPERATIVE COMPLICATIONS ON PART OF NEUROSURGEON, SURGICAL REGISTRARS & PAIN DOCTORS. NO EXPLAINATIONS GIVEN TO ME FOR 4 MTHS LATER WHEN I GOT THE RIGHT DIAGNOSIS & THE RIGHT TREATMENT"
RTUITO, Fiddleheads Hospital,50+,Woman or female,Neither good nor poor,,ASSISTANCE WITH SHOWERS & TOILET
OIUWEY, Longan Hospital,50+,Woman or female,Very good,MY PROBLEM WAS DIAGNOSED AND TREATED. I WAS MADE TO FEEL SAFE BY DOCTORS & NURSES,"I CAN NOT THINK OF ANYTHING THAT COULD HAVE BEEN IMPROVED FOR MY STAY AT XXXX HOSPITAL. ED WAS ORGANISED AND QUICK AND THE CARE ON THE WARD FROM NURSES, DOCTORS CLEANING STAFF AND MEAL STAFF WAS EXCELLENT"
QESRRT, Cucumber Hospital,50+,Man or male,Very good,THE CARE THAT CAME FROM THE NURSES WHEN NOTHING WAS A PROBLEM,I THINK IN MY ADMISSION WAS I HAD A COLONOSCOPY PERFORMED AND HAD A MAJOR PAIN IN THE STOMACH AFTER WHICH TURNED OUT TO BE AN INFECTION THAT TOOK A FURTHER XXXX DAYS IN THE HOSPITAL TO CLEAR IT UP. MAYBE MAKE SURE THAT THE INSTRUMENTS ARE CLEAN SO WE ARE ALL SAFE
QWRET, Orange Hospital,18-49,Woman or female,Good,THE DRS AND NURSES WERE GREAT,TIMES WAITING TO GET PROCEDURES DONE WHILE IN HOSPITAL
MZNBSD, Squash Hospital,50+,Man or male,Very good,"MY TIME IN XXXX HOSPITAL WAS IN THE RE-HAB WARD. ALL STAFF WERE VERY GOOD, DEALING WITH COVID LOCKDOWNS & EXTRA SHIFTS. I WOULD ESPECIALLY LIKE TO THANK XXXX FOR HIS/HER HUMOUR STORIES & XXXX & XXXX FOR THEIR COMPASSION FOR A SHATTERED HUMAN",IMPROVED PAY FOR STAFF & PAY FOR TRAINEES DOING FULL SHIFTS
OIUWEY, Longan Hospital,50+,Woman or female,Very good,ALL CARE PROVIDED DURING STAY EXPECIALLY THE DOCTRS AND NURSES,NO IMPROVING ALL GOOD
CVBHMI, Carrot Hospital,50+,Man or male,Very good,BEING BEING ABLE TO UNDERSTAND THE NURSES OR DOCTORS WHEN SPEAKING TO THEM,"FIRSTLY THE FOOD SECONDLY  TRAIN THE STAFF TO SPEAK ENGLISH & THERE IS NO SUBSTITUTE FOR HANDS ON TRAINING, FIXING THOSE THINGS & YOU WILL BE OFF TO A FLYING START."
QESRRT, Water chestnut Hospital,50+,Woman or female,Good,STAFF WERE VERY HELPFUL AND ANSWERED ALL QUESTIONS,"NO TOWELS, TOILET PAPER IN ROOM. I HAD TO SIGN A LOT OF FORMS IN A & E WITHOUT EXPLAINING WHAT THEY WERE FOR. I WAS NOT TOLD THAT MY HEALTH FUND WOULD BE CHARGED FOR TREATMENT & OVERNIGHT STAY"
OIUWEY, Longan Hospital,50+,Woman or female,Good,GOING HOME,THE AMOUNT OF NOISE CONSTANTLY WAS NOT ABLE TO REST AT NIGHT. BECAUSE OF IT DID NOT RECEIVE A SHOWER AT ALL DURING MY STAY
EWRTY, Kumquat Hospital,18-49,Man or male,Good,PROPER TREATMENT,NO
QERYUI, Durian Hospital,50+,Man or male,Good,CARE OF THE NURSES,"GETTING THROUGH EMERGENCY & BEING ADMITTED, PLUS DISCHARGE WAITING FOR MEDICATION"
LAUJSH, Habanero Hospital,50+,Man or male,Very good,THE DOCTORS NURSES & STAFF WERE VERY FRIENDLY AND HELPFUL & THE FOOD WAS VERY GOOD,I WAS HAPPY WITH THE CARE I RECEIVED
QTYEWR, Rutabaga Hospital,50+,Man or male,Very good,WHEN CHECKS ETC/TABLET WERE REQUIRED THEY WERE PRETTY CLOSE TO THE TIME YOU WERE REQUIRED TO HAVE THEM,"VERY HARD TO GET ANY GOOD SLEEP EVEN WHEN YOU ARE IN A ROOM OF YOUR OWN. AS THERE IS THE OTHER PATIENT WHO ARE IN FOR A DIFFERENT REASON THAN YOU ARE, AND NEED ATTENTION ALL HOURS. XXXX"
RTUITO, Peach Hospital,50+,Woman or female,Good,"THE DOCTORS & THEATRE NURSES/STAFF WERE AMAZING. I FOUND MOST NURSES WERE GREAT. THE ODD ONE, NOT SO GREAT. THE STAFF SERVING MEALS & TAKING ORDERS WERE LOVELY & CARING & HELPFUL",*I HAD OBVIOUSLY VOMITED & I STILL HAD IT IN MY HAIR & A BIT ON MY FACE ON MY PILLOW. I WAS UNAWARE UNTIL MY SON/DAUGHTER SAW ME & TURNED PILLOW OVER. THAT WAS A LITTLE UPSETTING I WASN'T EVEN TOLD I HAD VOMITED. *MAYBE AFTER A MAJOR OPERATION-DON'T GIVE THE PATIENT A HEAVY MEAL. I DIDN'T EAT AS IT MADE ME FEEL UNWELL. A SANDWICH WOULD HAVE BEEN NICER. A NURSE ACTUALLY ORGANISED THIS FOR ME BUT IT NEVER ARRIVE
CVBHMI, Carrot Hospital,50+,Man or male,Very good,CARE,
QESRRT, Lotus root Hospital,50+,Woman or female,Very good,THE CARE AFFORDED TO A PALLIATING PATIENT COMMUNICATION WITH FAMILY,MEALS DELIVERED REGULARLY TO A PATIENT NIL BY MOUTH
MZNBSD, Grapefruit Hospital,50+,Man or male,Very good,NURSES AND DOCTORS LOOKED AFTER ME,MORE NURSES NURSES ARE OVERWORKED
QERYUI, Tangerine Hospital,50+,Man or male,Very good,THE CARE AND ATTENTION I RECEIVED WAS ALL-ROUND EXCELLENT FROM ADMISSION TO DISCHARGE,"FROM MY STANDPOINT, NONE"
QWRET, Olive Hospital,50+,Woman or female,Very good,VERY PROFESSIONAL WITH A LARGE AMOUNT OF CARE AND COMPASSION FOR MYSELF AND ELDERLY HUSBAND,I DON'T HAVE ANY COMPLAINT OF THE SERVICE AND DONE AT XXXX HOSPITAL
LAUJSH, Grapes Hospital,50+,Man or male,Very good,COMMUNICATION WITH SPECIALISTS,
RTUITO, Serrano Hospital,50+,Woman or female,Very good,ALL OF IT WAS GOOD,
MZNBSD, Papaya Hospital,50+,Man or male,Poor,THE ANAESTHETIST WAS VERY GOOD AND CARING,A NURSE BY THE NAME OF XXXX WAS VERY UNPROFESSIONAL AND UNSYMPATHETIC TO MY SITUATION
QERYUI, Durian Hospital,50+,Man or male,Very good,THE HOSPITAL STAFF WERE EXCELLENT AT ALL TIMES,THE FOOD!
OPIUSD, Ugli fruit Hospital,50+,Woman or female,Very good,T,Y
EWRTY, Yambean Hospital,18-49,Woman or female,Good,THE STAFF WERE ALL VERY PROFESSIONAL,THE STAFF WERE CLEARLY OVERWORKED AND NEEDED ADDITIONAL FUNDING AND NUMBERS FOR A HIGH STANDARD OF PATIENT CARE
OPIUSD, Ugli fruit Hospital,50+,Woman or female,Very good,"ALL THE TIME & EVERYWHERE I WISH TO THANK DOCTOR XXXX XXXX FOR HIS/HER GREAT SUPPORT, KINDNESS & HELP & I THANK DR XXXX (ANAESTHETICS) AND ALL THE STAFF",MAY THE LORD BE WITH YOU ALL & KEEP YOU WELL & HEALTHY. GOD BLESS YOU
MZNBSD, Starfruit Hospital,50+,Man or male,Good,,QUALITY OF FOOD NEEDS IMPROVING
EWRTY, Yambean Hospital,50+,Man or male,Very good,-ALL MY NEEDS WERE MET,
OPIUSD, Feijoa Hospital,18-49,Woman or female,Very good,"THE NURSES WERE ANGELS. I FEEL LIKE THEY ALL TRIED THEIR BEST DESPITE THE LACK OF RECORDED INFORMATION ON MY MENTAL HEALTH MEDICATION. THEY WERE VERY UNDERSTANDING DURING MY BREAKDOWN(S). SURPRISINGLY, THE VERY BEST PART OF MY CARE WAS DURING THE PANIC ATTACK POST-SURGERY. MY POST-SURGICAL WARD NURSE PULLED THE CURTAINS ALMOST INSTANTLY AND JUST HELD MY HAND AND LET ME SOB FOR A MOMENT. HE/SHE WAS UNDERSTANDING WHILE I CAUGHT MY BREATH AND GAVE ME PRIVACY TO PUT MY ""NORMAL"" BACK ON.","I FEEL THAT THE DOCTORS AND PERHAPS NURSES WERE VERY RUSHED, MAYBE UNDERSTAFFED? I WAS ASKED CONSTANTLY ABOUT MY MENTAL HEALTH MEDICATION; HOWEVER I DON'T THINK IT WAS RECORDED UNTIL AFTER SURGERY. AFTER SURGERY, I WOKE UP WITH A PANIC ATTACK AND WAS BEGGING TO GO HOME. A DOCTOR CAME DOWN TO CHECK ON ME AND AGAIN ASKED WHAT MENTAL HEALTH MEDICATION I WAS ON. UNFORTUNATELY, BY THIS TIME I'D MISSED APPROX. XXXX DAYS OF MY MENTAL HEALTH MEDICATION AND WAS A SOBBING MESS, BEGGING TO GO HOME BEFORE DISCHARGE. SO, I THINK RECORDING OF MENTAL HEALTH MEDICATION SHOULD BE AS PARAMOUNT AS OTHER MEDICATIONS.   ALSO, THE SHARED ROOM WAS UNDERSTANDABLE. BUT THE TOILET HAD A WAD OF TOILET PAPER AND TOILET ROLL SHOVED UNDER THE RIM. IT WAS REALLY GROSS AND I HAD TO REMOVE IT BEFORE I COULD USE THE TOILET. SO MAYBE BATHROOM CLEANING MORE REGULARLY?"
EWRTY, Kumquat Hospital,50+,Woman or female,Very good,THE NURSES,FOOD
KHZJDF, Parsnip Hospital,50+,Woman or female,Good,"AT XXXX HOSPITAL, THE MODERN WARD AND GOOD NURSING CARE STAND OUT TO ME MIGHT I SPECIALLY MENTION XXXX (STOMA CARE NURSE) AND XXXX ON THE WARD RECEPTION","NEARLY EVERY NEGATIVE RESPONSE IN THIS SURVEY IS BECAUSE OF DR XXXX. I HAVE NO CONFIDENCE IN HIM/HER. HE/SHE DIRECTLY CONTRADICTED DR XXXX'S INFORMATION ABOUT FUTURE BOWEL SURGERY, SAVING IT IS NOT POSSIBLE, HE/SHE WAS HAPPY FOR ME TO WAIT SEVERAL DAYS FOR LIFE CHANGING INFORMATION, WHICH WHEN DEMANDED WAS SUPPLIED ON XXXX"
MZNBSD, Grapefruit Hospital,50+,Man or male,Very good,THE NURSING STAFF WERE VERY GOOD TAKING TIME TO EXPLAIN WHAT WAS HAPPENING & WHY & WHEN,THE DISCHARGE PROCEDURE WAS *** OUT & IMPERSONAL
CVBHMI, Dragonfruit Hospital,50+,Man or male,Very good,FRIENDLY NURSES,FASTER ASSESSMENT AT CASUALTY
KHZJDF, Kumquat Hospital,50+,Woman or female,Very good,,"TOOK HOURS TO DIAGNOSE & PLACE ME IN A WARD. AFTER XXXX DAYS I WAS TRANSFERRED TO XXXX REHABILITATION HOSPITAL, HAD TO WAIT NEARLY AN HOUR DOWNSTAIRS IN A DRAUGHT FOR TRANSPORT (AMBULANCE) TO XXXX"
QTYEWR, Radicchio Hospital,50+,Man or male,Very good,GOOD ATTITUDE OF STAFF,MORE STAFF-THEY ARE USUALLY FLAT OUT DOING THEIR JOB
VASRTY, Jalapeno Hospital,50+,Woman or female,Good,KIND & CARING STAFF WHO TREATED ME NICELY,THE CONDITION OF THE OLDER REHABILITATION BUILDING. THE FOLLOW UP AFTERWARDS - I WAS TO RECEIVE OUTPATIENT TREATMENT & NO ONE CONTACTED ME AT ALL. SO I DIDN'T PERSUE VIA THE HOSPITAL
OPIUSD, Ugli fruit Hospital,50+,Woman or female,Very good,NURSE CARE. PHYSIO,BEDS-NEED TO STRAIGHTEN SHEETS UNDERNEATH
KHZJDF, Strawberry Hospital,50+,Woman or female,Very good,THE TREATING DOCTORS WERE KNOWLEDGEABLE KIND & FREINDLDY AND I FELT CONFIDENT OF THEIR CARE,THE SURGICAL WARD WHERE I STAYED WAS VERY DIRTY TO THE EXTENT THAT THE BATHROOMS OFTEN HAD MINE PUDDLED ON THE FLOOR OR FAECES AROUND THE TOILET
QESRRT, Cucumber Hospital,50+,Man or male,Very good,THE ATTENTION BY THE DOCTORS TO THE PROBLEM I HAD. ALL THE CHECKS WERE COMPLETED URGENTLY AND I WAS OPERATED UPON AT XXXX AM. I COULD NOT EXPECT ANY MORE. EXTREMELY THANKFUL FOR THE ATTENTION AND CARE,I HAD A VERY GOOD EXPERIENCE. I SAW ALL THE STAFF (DOCTOR/NURSES/ASSISTANTS ETC) ALL WORK VERY HARD. VERY APPRECIATIVE OF THE LEVEL OF CARE AT XXXX HOSPITAL. IF ANYTHING-JUST SOME IMPROVEMENTS WITH CLEANING. THE CLEANING TEAM DO AVERAGE JOB
KHZJDF, Parsnip Hospital,50+,Woman or female,Poor,THE DOCTORS AND NURSES WERE EXCELLENT,"I WAS MOVED TO TWO DIFFERENT WARDS AT XXXX PM AND XXXX PM AT NIGHT. NIL BY MOUTH FOR XXXX DAYS WAITING FOR CT SCAN TO BE DONE, EVERYDAY AND CONTACTED THEM ABOUT XXXX PM TO BE TOLD NOT TODAY. HAD SIX PEOPLE IN ONE ROOM WITH ONLY ONE NURSE TWO DAYS RUNNING."
EWRTY, Kumquat Hospital,50+,Woman or female,Neither good nor poor,N/A,MORE STAFFS ON DUTIES
OIUWEY, Pear Hospital,50+,Woman or female,Very good,,ONLY THING I FEEL MIGHT HELP AS I HAD NO FOOD FOR XXXX DAYS AND HAD AN ABDOMINAL OP. WHEN I WAS ALLOWED TO EAT IT COULD OF BE A BIT MORE RESTRICTED AS I ATE A BIT (NOT OVER) BUT WHEN NOT HAVING ANYTHING I GOT VERY BAD BLOATING PAINS THIS MIGHT HELP IN FUTURE
CVBHMI, Dragonfruit Hospital,50+,Woman or female,Very good,THE NURSES WERE AMZING! CARING & WENT OUT OF THEIR WAY TO MAKE ME FEEL COMFORTABLE. I COULD NOT ASK FOR ANYTHING BETTER BEING A PUBLIC HEALTH PATIENT,DOCTORS NEED TO TRY & BE LESS RUSHED WITH THEIR PATIENT. THERE WAS LITTLE TIME TO EXPRESS MY CONCERNS. I FELT LIKE I WAS HOLDING HIM/HER UP
QWRET, Olive Hospital,50+,Man or male,Very good,TREATMENT IN WARD BEFORE & AFTER OP,NIL
OPIUSD, Feijoa Hospital,50+,Man or male,Very good,"NURSE, HIGHEST STANDARD, BEST IN THE WORLD, CLEANING, DEFINITELY WELL (BETTER THAN PRIVATE HOSPITAL). EMERGENCY DEPARTMENT (VERY GOOD TEAM-WORK & PROFESSIONAL)",LANGUAGE PROBLEM LOT PATIENT WELL UNDERSTAND THE WHOLE TREATMENT & *** I UNDERSTAND DOCTOR HAS NOT MORE TIME TO EXPLAIN THIS
BNAVSE, Melon Hospital,18-49,Man or male,Good,"THE DOCTOR EXPLAINS, UNDERSTANDS WELL AND TAKES GOOD CARE .",
BNAVSE, Melon Hospital,50+,Woman or female,Very good,"ON ARRIVAL WAITED LESS THAN XXXX MINS, DIRECT TO CARDIAC HAD XXXX ATTENDING TILL BED AVAILABLE STAFF IN AND OUT ALL NIGHT, EARLY MORNING IN THEATRE NEW PACE MAKER. WORKING WELL",
RTUITO, Serrano Hospital,50+,Woman or female,Very good,"FULLY INFORMATION ABOUT MY OPERATION FROM MY SURGEON. -EXCELLENT CARE FROM NURSING STAFF, VERY CARING & CONSTANT CHECKS ON BP ETC THROUGHOUT THE NIGHT. EXCELLENT STAFF & XXXX HOSPITAL",NONE-EXCELLENT CARE THROUGHOUT
RTUITO, Taro Hospital,50+,Woman or female,.,NURSING STAFF IN WARD WERE EXCELLENT. ALWAYS READY TO HELP,"NO ATTENTION, CARE OR INFORMATION GIVEN WHILE IN ER. NEGLECTED. LEFT IN ROOM FOR HRS-NO FOOD OR WATER & MEDS GIVEN. FELT & TREATED LIKE A LEPER"
RTUITO, Taro Hospital,50+,Man or male,Good,THE CARE GIVEN BY THE NURSES,THE FOOD. I WAS HOSPITALIZED FOR XXXX HOURS (XXXX AM) I COULDN'T HAVE EATEN LUNCH BUT WASN'T OFFERED ANY UNTIL ABOUT XXXXPM WHEN I WAS ASKED IF I WOULD LIKE A SANDWICH I SAID YES & WHEN IT CAME IT WAS FROZEN SOLID (NOT GOOD). A DISH OF CHICKEN WAS GIVEN TO ME FOR TEA & IT WAS TERRIBLE. BREAKFAST *** MORNING WAS GOOD.
QESRRT, Water chestnut Hospital,50+,Man or male,Very good,CONSTANT CARE AND CHECKING BY STAFF,HOSPITAL NEEDS REPLACING &PROVIDE MORE COMPREHENSIVE RANGE OF CARE AND TREATMENT AVAILABLE. ALL FOR HOSPITAL TO BETTER LAID OUT
QTYEWR, Rambutan Hospital,50+,Woman or female,.,GENERAL CARE IS ALWAYS GOOD NURSES & DOCTORS ARE WONDERFUL AND A CREDIT TO THEMSELVES. BUT,IF A PATIENT IS ADMITTED WITH MENTAL HEALTH ISSUES THE CARE & EXPERTISE OF THESE ALTERNATIVE ARE NOT ALWAYS SPECIALIST ENOUGH FOR THE SITUATION. DO YOU HAVE A SPECIALIST MENTAL HEALTH ADMISSION TEAM?
QWRET, Olive Hospital,50+,Woman or female,Very good,"I WAS IN HOSPITAL XXXX DAYS AND ONLY 1 IN WARD, THE REST IN ICU WHERE I WAS TAKEN VERY GOOD CARE OF SO I FELT I WAS IN A VERY SAFE SITUATION FOR CARE. THEY GAVE ME EXCELLENT CARE IN A SINGLE ROOM. ALL OF THE NURSES WERE LOVELY TO ME",THE FOOD WAS NOT VERY APPETISING ALTHOUGH THERE WAS PLENTY AND PERSONAL CHOICE FROM A MENU. BUT MOSTLY IT DID NOT TASTE GOOD.  THE PEOPLE WHO DELIVERED THE FOOD WERE REALLY NICE AND OBLIGING. NOT TERRIBLY IMPORTANT MAYBE BUT MAYBE JUST A SANDWICH OF CHOICE. OTHERWISE EVERYTHING ELSE WAS FINE
QESRRT, Lotus root Hospital,50+,Woman or female,Good,WAS IN A NOISE WARD COULDN'T HAVE TV ON OTHER PEOPLE LAST TIME WAS IN ONE NIGHT THIS TIME 2 NIGHTS LIKE BEEN WITH OTHER PEOPLE. BLOOD ON BATHROOM FL. SORRY,NOT BAD FELT SORRY FOR THE ELDERLY OLDER PEOPLE NURSES WERE TOO BUSY IF NEEDED BATHROOM
OPIUSD, Ugli fruit Hospital,50+,Woman or female,Very good,FRIENDLY STAFF,MORE STAFF NEEDED
QESRRT, Cucumber Hospital,50+,Woman or female,Very good,BEST DIAGNOSE OF HEART. BLOOD TEST DONE IN VERY GOOD WAY,NOTHING NEEDED
KHZJDF, Kumquat Hospital,50+,Woman or female,Neither good nor poor,THE NURSES DID A GOOD JOB CONSIDERING HOW BUSY THEY ARE,"COMMUNICATION ABOUT MEDICAL HISTORY NEEDS TO BE ADDRESSED MORE THOROUGHLY. MY ANTIDEPRESSANT MEDICATION WAS LEFT OFF MY MEDICATION LIST, SO I DIDN'T RECEIVE THE ANTIDEPRESSANT FOR 3 DAYS AFTER SURGERY WHICH RESULTED IN ME HAVING HALLUCINATIONS. THE MISTAKE WAS DISCOVERED WHEN I ASKED IF MY ANTIDEPRESSANT WAS BEING GIVEN TO ME. THEY SAID IT IS NOT ON YOUR LIST OF MEDICATIONS. A DOCTOR THEN HAD TO ADD IT TO THE LIST SO THAT I COULD GET IT"
VASRTY, Cantaloupe Hospital,50+,Woman or female,Very good,1. SINGLE ROOM. 2. CARE & TREATMENT,
ARTBQW, Currant Hospital,50+,Man or male,.,VERY GOOD. MY STAY IN HOSPITAL WAS XXXX HOURS,
KHZJDF, Endive Hospital,50+,Woman or female,Very good,"PAIN RELIEF, NURSES AND STAFF",
QERYUI, Durian Hospital,50+,Man or male,Very good,"ALL NURSES WERE RUN OF THEIR FEET AFTER WORKING 12 HR PLUS SHIFT, BUT STILL WOULD GO OUT OF THEIR WAY TO HELP YOU IN ANY WAY THEY COULD",
KHZJDF, Kumquat Hospital,50+,Woman or female,Very good,NURSING SERVICE BRILLIANT,FOOD VERY BASIC
BNAVSE, Melon Hospital,50+,Man or male,Very good,"MOST OF THE TEAM, IF NOT ALL, WERE VERY ATTENTIVE TO MY NEEDS/SITUATION",ON DISCHARGE I WASN'T INFORMED THAT THERE WILL BE A DELAY. TOOK XXXX HRS. WAITING FOR THE DISCHARGED PAPERS. I WAS TOLD TO WAIT DOWNSTAIRS FOR THE DISCHARGED PAPERS. I SHOULD HAVE BEEN DISCHARGED FROM MY ROOM AND GIVEN WITH THE DISCHARGED/SUMMARY PAPERS
MZNBSD, Starfruit Hospital,18-49,Woman or female,Very good,THE NURSES WERE SO CARING AND NICE,
EWRTY, Yambean Hospital,50+,Woman or female,Very good,A CHANCE TO LIVE,NEED MORE NURSES
BNAVSE, Lemon Hospital,50+,Woman or female,Very good,"WAS KNOWING THAT I WOULD BE ALRIGHT AFTER MY OPERATION, HAVING STAFF THAT WERE THERE TO ASSIST ME IN ANYWAY.",
MZNBSD, Gooseberry Hospital,50+,Woman or female,Very good,THE CARING PROFESSIONALS & STAFF WERE ALL EXCELLENT,I FOUND NOTHING NEEDS TO BE IMPROVED AT THIS HOSP
ARTBQW, Raspberries Hospital,50+,Woman or female,Very good,ALL ASPECTS WERE GOOD,NOTHING
OIUWEY, Persimmon Hospital,50+,Man or male,Very good,IT WAS ALL GOOD EXCEPT I EXPERIENCED THE STATEMENT BELOW,ENGLISH LANGUAGE MUST BE USED WHETHER SPEAKING TO CLIENT OR OTHER STAFF-WHEN ATTENDING TO CLIENTS
QTYEWR, Honeydew Melon Hospital,50+,Man or male,Very good,THE CONSIDERATIONS OF MY WELL BEING BY THE NURSING STAFF AT ALL TIMES,NO COMMENT REQUIRED
KHZJDF, Kiwi Hospital,50+,Woman or female,Good,ALL NURSING STAFF AND DOCTORS WERE VERY EFFICIENT AND POLITE ],MEALS WERE HORRIBLE TO MUCH IN THE CARDBOARD CONTAINERS. THEY DIDN'T TASTE NICE AND NOT ENOUGH VARIETY. WHEN READING MY DISCHARGE REPORT I SAW A REFERENCE TO POSSIBLE LUMP IN BREAST. WHEN YOU HAVE PREVIOUSLY HAD BREAST CANCER IT WAS VERY SCARY. NO DOCTOR TOLD ME ABOUT ANY SCAN RESULT. I HAD A NEW MAMMOGRAM AFTERWARDS
OIUWEY, Chilli pepper Hospital,50+,Woman or female,Very good,"EVERYBODY IN THE HOSPITAL NURSES, DRS, CLEANERS, ETC. I FOUND NOTHING WAS TO MUCH TROUBLE TO HELP ME. I THINK I GOT THE BEST CARE THEY COULD GIVE",I DON'T KNOW WHY THEY GOT RID OF THE OLD BLANKETS BECAUSE THE NEW ONES (BLUE) ARE TO PUT IT POLITE THEY ARE CRAP. THEY ARE TO HEAVY NOT AS WARM. BRING BACK THE OLD ONES PLEASE THE REST WAS OKAY
QWRET, Bamboo shoots Hospital,18-49,Woman or female,Good,APPRECIATING THE HARD WORK OF DOCTORS AND NURSES,N/A
